Cluster,Count
"(1, 4)",46
"(1, 1)",31
"(2, 2)",26
"(0, 0)",26
"(1, 0)",40
"(7, 1)",18
"(8, 7)",23
"(4, 5)",3
"(6, 7)",8
"(8, 9)",7
"(5, 7)",4
"(2, 5)",8
"(5, 9)",17
"(7, 0)",23
"(4, 2)",23
"(4, 4)",9
"(0, 2)",12
"(8, 3)",11
"(7, 4)",16
"(9, 0)",23
"(2, 1)",55
"(2, 9)",34
"(3, 7)",11
"(7, 5)",7
"(6, 1)",43
"(0, 6)",26
"(1, 3)",13
"(5, 4)",3
"(8, 6)",36
"(6, 4)",9
"(3, 1)",18
"(2, 3)",17
"(8, 4)",22
"(3, 2)",17
"(7, 7)",40
"(3, 9)",14
"(1, 5)",29
"(7, 9)",12
"(9, 5)",6
"(8, 8)",10
"(5, 6)",5
"(9, 3)",16
"(4, 6)",5
"(1, 9)",16
"(0, 5)",9
"(8, 5)",11
"(3, 3)",15
"(9, 2)",53
"(1, 2)",16
"(5, 2)",6
"(2, 7)",12
"(1, 6)",7
"(0, 4)",7
"(0, 9)",31
"(6, 5)",4
"(8, 1)",24
"(4, 8)",63
"(5, 1)",13
"(4, 1)",14
"(0, 7)",14
"(4, 9)",21
"(7, 3)",12
"(6, 0)",11
"(3, 4)",7
"(9, 9)",14
"(5, 0)",7
"(0, 8)",17
"(7, 2)",3
"(5, 3)",10
"(9, 8)",17
"(0, 1)",11
"(6, 9)",11
"(0, 3)",7
"(7, 8)",29
"(8, 0)",13
"(2, 8)",7
"(1, 7)",22
"(5, 8)",5
"(3, 0)",13
"(3, 8)",8
"(4, 3)",4
"(3, 6)",4
"(9, 7)",12
"(6, 2)",14
"(6, 3)",8
"(6, 8)",7
"(2, 4)",3
"(9, 1)",5
"(9, 6)",32
"(2, 0)",18
"(4, 7)",1
"(1, 8)",4
"(6, 6)",1
"(4, 0)",26
"(2, 6)",30
"(9, 4)",41
"(3, 5)",1
"(7, 6)",5
"(8, 2)",1
